815, Long Island Iced Tea Recip
1258, Piña Colada
418, Margarita
1579, Caipirinha Recip
445, Thin Mint Julep
90, The Original Bacardi Mojito
77, Cosmopolitan
539, The White Russian Cocktai
2136, Tom Collins
1383, Painkiller
1299, Bee's Knees
950, Bramble
716, Sidecar
696, French 75
1563, Aviation
537, Amazing Amaretto Sour Recip
1338, Mimosa
86, Bombay Sapphire Martini
2121, Pisco Sour
1588, Gimlet
1892, Clover Club
1806, Old Fashioned
1545, Gin Fizz Recip
457, Dark and Stormy
1654, B-52
1653, Boulevardier
606, Bloody Mary
1602, Sazerac
812, Moscow Mule Recip
1727, Espresso Martini
1572, Manhattan
604, Daiquiri Recip
536, Singapore Sling
394, Negroni
1689, Paloma
2005, Last Word
1992, Gin and Tonic
1013, Godfather
538, The Perfect Screwdriver Recip
601, The Sex on the Beach Recipe to Kno